column,category
Flooring,market_analysis_other
ViewYN,market_analysis_other
WaterfrontYN,market_analysis_other
BasementYN,market_analysis_other
PoolPrivateYN,market_analysis_other
OriginalListPrice,core
ListingKey,core
ListAgentEmail,metadata
CloseDate,core
ClosePrice,core
ListAgentFirstName,metadata
ListAgentLastName,metadata
Latitude,core
Longitude,core
UnparsedAddress,market_analysis_other
PropertyType,core
LivingArea,core
ListPrice,core
DaysOnMarket,core
ListOfficeName,metadata
BuyerOfficeName,metadata
CoListOfficeName,metadata
ListAgentFullName,metadata
CoListAgentFirstName,metadata
CoListAgentLastName,metadata
BuyerAgentMlsId,metadata
BuyerAgentFirstName,metadata
BuyerAgentLastName,metadata
FireplacesTotal,market_analysis_other
AssociationFeeFrequency,market_analysis_other
AboveGradeFinishedArea,market_analysis_other
ListingKeyNumeric,metadata
MLSAreaMajor,market_analysis_other
TaxAnnualAmount,market_analysis_other
CountyOrParish,core
MlsStatus,metadata
ElementarySchool,market_analysis_other
AttachedGarageYN,market_analysis_other
ParkingTotal,market_analysis_other
BuilderName,market_analysis_other
PropertySubType,core
LotSizeAcres,core
SubdivisionName,market_analysis_other
BuyerOfficeAOR,metadata
YearBuilt,core
BuyerAgencyCompensationType,market_analysis_other
StreetNumberNumeric,metadata
ListingId,core
BathroomsTotalInteger,core
City,core
BuyerAgencyCompensation,market_analysis_other
TaxYear,market_analysis_other
BuildingAreaTotal,market_analysis_other
BedroomsTotal,core
ContractStatusChangeDate,core
ElementarySchoolDistrict,market_analysis_other
CoBuyerAgentFirstName,metadata
PurchaseContractDate,core
ListingContractDate,core
BelowGradeFinishedArea,market_analysis_other
BusinessType,market_analysis_other
StateOrProvince,market_analysis_other
CoveredSpaces,market_analysis_other
MiddleOrJuniorSchool,market_analysis_other
FireplaceYN,market_analysis_other
Stories,market_analysis_other
HighSchool,market_analysis_other
Levels,market_analysis_other
LotSizeDimensions,market_analysis_other
LotSizeArea,market_analysis_other
MainLevelBedrooms,market_analysis_other
NewConstructionYN,market_analysis_other
GarageSpaces,market_analysis_other
HighSchoolDistrict,market_analysis_other
PostalCode,core
AssociationFee,market_analysis_other
LotSizeSquareFeet,market_analysis_other
MiddleOrJuniorSchoolDistrict,market_analysis_other
BuyerAgentAOR,metadata
ListAgentAOR,metadata
OriginatingSystemName,metadata
OriginatingSystemSubName,metadata
